lat,lon,month,solar_kwh_m2_day,wind_ms,temp_c
50.0,150.0,8,6.469,3.346,18.79
50.0,150.0,9,4.648,3.736,14.66
50.0,150.0,10,3.35,4.693,7.09
50.0,150.0,11,2.139,4.088,-1.39
50.0,150.0,12,0.003,5.101,-4.25
50.0,165.0,1,2.186,5.346,-9.18
50.0,165.0,2,3.397,4.927,-5.83
50.0,165.0,3,4.926,4.543,-0.69
50.0,165.0,4,7.188,3.99,8.75
50.0,165.0,5,8.166,4.171,13.66
50.0,165.0,6,7.574,3.282,18.67
50.0,165.0,7,8.3,2.76,21.19
50.0,165.0,8,6.646,2.983,18.17
50.0,165.0,9,4.805,3.655,13.66
50.0,165.0,10,3.488,4.256,7.25
50.0,165.0,11,2.046,4.313,0.87
50.0,165.0,12,0.0,5.089,-4.76
52.0,-180.0,1,1.692,4.764,-8.69
52.0,-180.0,2,2.891,5.07,-8.18
52.0,-180.0,3,4.813,4.937,-3.34
52.0,-180.0,4,6.863,3.448,2.96
52.0,-180.0,5,7.868,3.547,11.82
52.0,-180.0,6,7.562,3.513,17.52
52.0,-180.0,7,7.743,2.651,18.05
52.0,-180.0,8,6.453,3.03,18.54
52.0,-180.0,9,4.219,3.292,10.33
52.0,-180.0,10,3.174,4.147,4.44
52.0,-180.0,11,1.975,4.447,-1.29
52.0,-180.0,12,0.0,4.549,-7.12
52.0,-165.0,1,1.822,5.142,-8.88
52.0,-165.0,2,3.131,5.767,-7.64
52.0,-165.0,3,4.752,4.668,-2.9
52.0,-165.0,4,6.726,4.233,4.99
52.0,-165.0,5,7.936,3.889,12.48
52.0,-165.0,6,7.704,3.326,19.93
52.0,-165.0,7,8.039,2.882,18.59
52.0,-165.0,8,6.314,2.941,18.62
52.0,-165.0,9,4.5,3.484,14.99
52.0,-165.0,10,3.291,4.12,5.51
52.0,-165.0,11,2.013,5.051,-1.17
52.0,-165.0,12,0.198,5.253,-6.7
52.0,-150.0,1,1.637,5.509,-8.23
52.0,-150.0,2,3.044,5.343,-5.88
52.0,-150.0,3,4.838,4.731,0.7
52.0,-150.0,4,6.813,3.054,7.48
52.0,-150.0,5,7.916,2.927,11.15
52.0,-150.0,6,7.62,2.721,20.87
52.0,-150.0,7,7.79,2.811,23.81
52.0,-150.0,8,6.687,3.27,20.39
52.0,-150.0,9,4.714,3.179,14.93
52.0,-150.0,10,3.228,3.602,7.11
52.0,-150.0,11,1.982,4.954,-1.24
52.0,-150.0,12,0.004,4.995,-6.38
52.0,-135.0,1,1.802,4.844,-6.6
52.0,-135.0,2,2.815,4.902,-3.98
52.0,-135.0,3,4.609,4.806,1.18
52.0,-135.0,4,6.672,4.351,8.93
52.0,-135.0,5,7.914,3.052,17.28
52.0,-135.0,6,7.605,2.972,22.17
52.0,-135.0,7,7.98,3.622,26.09
52.0,-135.0,8,6.576,3.264,22.37
52.0,-135.0,9,4.612,3.589,16.77
52.0,-135.0,10,3.34,3.838,8.64
52.0,-135.0,11,1.963,4.645,1.37
52.0,-135.0,12,0.041,4.915,-4.41
52.0,-120.0,1,1.866,4.801,-6.07
52.0,-120.0,2,3.113,4.507,-4.75
52.0,-120.0,3,4.654,4.702,0.74
52.0,-120.0,4,6.822,4.35,9.63
52.0,-120.0,5,7.91,3.727,18.49
52.0,-120.0,6,7.639,3.053,22.08
52.0,-120.0,7,7.614,3.032,26.42
52.0,-120.0,8,6.543,3.252,25.38
52.0,-120.0,9,4.46,3.399,18.66
52.0,-120.0,10,3.241,3.938,10.95
52.0,-120.0,11,2.109,4.349,2.44
52.0,-120.0,12,0.117,5.122,-3.55
52.0,-105.0,1,1.684,5.109,-6.92
52.0,-105.0,2,3.005,5.303,-4.78
52.0,-105.0,3,4.63,4.786,2.08
52.0,-105.0,4,7.149,4.712,9.25
52.0,-105.0,5,7.888,3.689,19.38
52.0,-105.0,6,7.619,3.753,24.92
52.0,-105.0,7,7.821,2.872,28.44
52.0,-105.0,8,6.411,3.404,24.0
52.0,-105.0,9,4.693,3.578,18.89
52.0,-105.0,10,3.107,3.64,10.4
52.0,-105.0,11,1.903,5.209,2.51
52.0,-105.0,12,0.337,5.652,-4.41
52.0,-90.0,1,1.804,5.531,-6.29
52.0,-90.0,2,2.947,5.09,-3.8
52.0,-90.0,3,4.611,5.059,0.63
52.0,-90.0,4,6.822,4.283,9.89
52.0,-90.0,5,7.965,3.5,18.98
52.0,-90.0,6,7.713,3.5,26.47
52.0,-90.0,7,7.993,3.576,28.36
52.0,-90.0,8,6.492,3.509,25.49
52.0,-90.0,9,4.388,3.255,19.5
52.0,-90.0,10,3.146,4.574,11.79
52.0,-90.0,11,2.191,4.427,1.9
52.0,-90.0,12,0.0,5.26,-3.81
52.0,-75.0,1,1.911,5.6,-7.03
52.0,-75.0,2,2.821,5.33,-4.04
52.0,-75.0,3,4.689,4.862,1.23
52.0,-75.0,4,6.823,4.342,11.37
52.0,-75.0,5,7.84,3.513,15.64
52.0,-75.0,6,7.534,3.907,23.0
52.0,-75.0,7,7.856,3.298,27.16
52.0,-75.0,8,6.422,3.425,23.6
52.0,-75.0,9,4.726,3.126,15.41
52.0,-75.0,10,3.176,4.618,9.61
52.0,-75.0,11,2.069,5.283,1.08
52.0,-75.0,12,0.124,5.666,-4.31
52.0,-60.0,1,1.808,5.824,-8.08
52.0,-60.0,2,2.953,5.948,-5.41
52.0,-60.0,3,4.485,4.615,-1.08
52.0,-60.0,4,6.812,3.952,7.94
52.0,-60.0,5,7.751,4.79,15.18
52.0,-60.0,6,7.782,3.4,21.38
52.0,-60.0,7,7.738,3.339,21.99
52.0,-60.0,8,6.298,2.967,21.71
52.0,-60.0,9,4.428,4.058,16.19
52.0,-60.0,10,3.291,4.779,6.87
52.0,-60.0,11,1.916,5.026,0.97
52.0,-60.0,12,0.0,5.561,-5.73
52.0,-45.0,1,1.849,6.22,-8.59
52.0,-45.0,2,3.061,5.799,-6.68
52.0,-45.0,3,5.011,4.704,1.06
52.0,-45.0,4,6.744,4.213,8.13
52.0,-45.0,5,7.711,4.181,13.7
52.0,-45.0,6,7.553,3.395,19.06
52.0,-45.0,7,7.79,4.282,20.85
52.0,-45.0,8,6.454,3.46,20.6
52.0,-45.0,9,4.497,3.105,13.48
52.0,-45.0,10,3.076,3.796,4.83
52.0,-45.0,11,1.869,5.118,0.42
52.0,-45.0,12,0.155,5.81,-6.01
52.0,-30.0,1,1.667,6.035,-8.68
52.0,-30.0,2,2.871,5.831,-6.7
52.0,-30.0,3,4.713,4.816,-3.04
52.0,-30.0,4,6.866,4.403,5.7
52.0,-30.0,5,7.873,4.346,13.23
52.0,-30.0,6,7.752,3.377,19.28
52.0,-30.0,7,8.078,3.946,19.42
52.0,-30.0,8,6.426,3.095,17.59
52.0,-30.0,9,4.499,4.469,11.1
52.0,-30.0,10,3.423,4.786,4.57
52.0,-30.0,11,1.925,5.501,-2.55
52.0,-30.0,12,0.0,5.464,-5.52
52.0,-15.0,1,1.895,6.141,-9.51
52.0,-15.0,2,2.886,5.675,-7.73
52.0,-15.0,3,4.679,5.54,-1.78
52.0,-15.0,4,6.927,5.27,6.25
52.0,-15.0,5,7.825,3.995,12.25
52.0,-15.0,6,7.568,4.377,16.52
52.0,-15.0,7,7.919,4.081,18.82
52.0,-15.0,8,6.158,4.089,15.1
52.0,-15.0,9,4.527,3.749,12.13
52.0,-15.0,10,3.238,5.051,6.72
52.0,-15.0,11,2.033,5.175,-2.88
52.0,-15.0,12,0.0,6.011,-7.43
52.0,0.0,1,1.586,5.521,-10.18
52.0,0.0,2,2.824,5.049,-7.54
52.0,0.0,3,4.853,5.289,-1.58
52.0,0.0,4,6.558,5.258,3.85
52.0,0.0,5,7.536,3.863,11.69
52.0,0.0,6,7.662,4.015,16.62
52.0,0.0,7,7.944,3.655,21.06
52.0,0.0,8,6.463,4.29,15.81
52.0,0.0,9,4.428,4.269,11.48
52.0,0.0,10,3.053,5.165,5.08
52.0,0.0,11,2.048,5.333,-3.92
52.0,0.0,12,0.089,5.403,-9.47
52.0,15.0,1,1.88,6.111,-8.72
52.0,15.0,2,3.163,6.049,-6.55
52.0,15.0,3,5.104,5.137,-1.84
52.0,15.0,4,6.907,4.682,6.18
52.0,15.0,5,7.746,4.431,15.42
52.0,15.0,6,7.478,3.876,19.41
52.0,15.0,7,7.845,3.314,21.03
52.0,15.0,8,6.46,4.077,20.41
52.0,15.0,9,4.474,4.173,12.6
52.0,15.0,10,3.211,5.187,5.36
52.0,15.0,11,1.804,5.283,-0.76
52.0,15.0,12,0.045,6.284,-8.14
52.0,30.0,1,1.925,5.45,-7.18
52.0,30.0,2,3.039,5.271,-5.69
52.0,30.0,3,4.776,5.625,-0.13
52.0,30.0,4,6.877,5.396,7.44
52.0,30.0,5,8.017,4.219,11.93
52.0,30.0,6,7.546,3.96,18.64
52.0,30.0,7,8.026,3.898,21.35
52.0,30.0,8,6.308,4.444,19.72
52.0,30.0,9,4.454,3.675,15.26
52.0,30.0,10,3.464,4.816,7.75
52.0,30.0,11,2.082,5.844,-1.91
52.0,30.0,12,0.0,5.661,-6.3
52.0,45.0,1,1.706,6.056,-6.52
52.0,45.0,2,3.018,5.999,-5.09
52.0,45.0,3,4.729,4.868,2.97
52.0,45.0,4,7.007,4.568,10.06
52.0,45.0,5,8.137,4.656,17.65
52.0,45.0,6,7.569,3.84,22.26
52.0,45.0,7,7.923,3.83,26.01
52.0,45.0,8,6.309,4.236,23.3
52.0,45.0,9,4.598,4.222,17.4
52.0,45.0,10,3.13,4.294,7.83
52.0,45.0,11,2.041,5.262,0.66
52.0,45.0,12,0.0,6.211,-6.33
52.0,60.0,1,1.695,5.44,-6.09
52.0,60.0,2,3.113,5.881,-4.4
52.0,60.0,3,5.058,5.269,3.27
52.0,60.0,4,6.784,5.005,9.64
52.0,60.0,5,7.857,4.79,17.78
52.0,60.0,6,7.552,3.906,26.49
52.0,60.0,7,8.09,4.063,26.74
52.0,60.0,8,6.331,4.035,23.33
52.0,60.0,9,4.638,3.826,18.22
52.0,60.0,10,3.078,4.208,8.54
52.0,60.0,11,2.026,5.372,2.88
52.0,60.0,12,0.0,5.722,-4.44
52.0,75.0,1,2.027,5.726,-7.51
52.0,75.0,2,3.145,5.913,-3.37
52.0,75.0,3,4.793,5.585,2.61
52.0,75.0,4,6.758,4.282,11.5
52.0,75.0,5,7.909,3.997,19.14
52.0,75.0,6,7.563,3.435,24.45
52.0,75.0,7,7.833,3.776,26.2
52.0,75.0,8,6.28,3.397,25.78
52.0,75.0,9,4.452,4.677,18.34
52.0,75.0,10,3.281,4.937,10.41
52.0,75.0,11,1.76,6.012,2.24
52.0,75.0,12,0.016,5.907,-3.75
52.0,90.0,1,1.883,5.191,-8.14
52.0,90.0,2,2.965,6.092,-4.63
52.0,90.0,3,4.741,4.786,0.24
52.0,90.0,4,6.525,4.614,10.25
52.0,90.0,5,7.819,4.549,19.88
52.0,90.0,6,7.545,3.943,22.75
52.0,90.0,7,7.942,3.924,27.43
52.0,90.0,8,6.278,3.392,26.9
52.0,90.0,9,4.61,3.804,17.12
52.0,90.0,10,3.423,4.974,10.23
52.0,90.0,11,2.041,5.707,2.07
52.0,90.0,12,0.0,5.351,-5.69
52.0,105.0,1,1.841,5.135,-6.28
52.0,105.0,2,2.853,5.408,-5.07
52.0,105.0,3,4.614,4.879,0.83
52.0,105.0,4,6.948,4.532,10.41
52.0,105.0,5,7.823,3.748,17.87
52.0,105.0,6,7.428,3.409,22.75
52.0,105.0,7,7.736,3.739,26.03
52.0,105.0,8,6.228,3.554,23.71
52.0,105.0,9,4.561,3.525,17.72
52.0,105.0,10,3.09,4.944,9.63
52.0,105.0,11,1.747,5.55,1.81
52.0,105.0,12,0.0,5.29,-3.94
52.0,120.0,1,1.761,4.759,-9.14
52.0,120.0,2,3.053,5.273,-6.4
52.0,120.0,3,4.613,4.969,-1.07
52.0,120.0,4,6.768,4.638,8.57
52.0,120.0,5,7.908,4.482,16.28
52.0,120.0,6,7.437,3.924,21.74
52.0,120.0,7,8.028,3.271,22.48
52.0,120.0,8,6.581,3.596,22.3
52.0,120.0,9,4.493,4.031,15.66
52.0,120.0,10,3.211,4.508,8.15
52.0,120.0,11,1.931,6.05,0.87
52.0,120.0,12,0.0,5.167,-5.09
52.0,135.0,1,1.845,5.743,-8.4
52.0,135.0,2,3.081,5.725,-6.23
52.0,135.0,3,4.498,5.058,0.69
52.0,135.0,4,6.985,4.086,5.42
52.0,135.0,5,7.887,3.926,14.17
52.0,135.0,6,7.696,3.765,17.95
52.0,135.0,7,7.877,2.762,21.53
52.0,135.0,8,6.478,3.651,17.3
52.0,135.0,9,4.341,3.785,14.24
52.0,135.0,10,3.381,4.134,6.47
52.0,135.0,11,1.952,5.114,0.37
52.0,135.0,12,0.0,4.781,-6.66
52.0,150.0,1,1.822,5.643,-10.97
52.0,150.0,2,2.955,4.848,-4.87
52.0,150.0,3,4.767,5.247,-0.12
52.0,150.0,4,6.772,4.281,5.6
52.0,150.0,5,7.903,3.699,11.96
52.0,150.0,6,7.374,3.485,18.13
52.0,150.0,7,7.849,3.526,18.34
52.0,150.0,8,6.462,3.229,17.27
52.0,150.0,9,4.34,3.542,11.64
52.0,150.0,10,3.388,4.504,4.73
52.0,150.0,11,1.948,4.781,-1.67
52.0,150.0,12,0.105,4.682,-7.79
52.0,165.0,1,1.609,4.86,-10.13
52.0,165.0,2,2.989,5.981,-8.15
52.0,165.0,3,4.571,4.352,-2.24
52.0,165.0,4,6.796,3.383,4.86
52.0,165.0,5,7.898,3.488,13.78
52.0,165.0,6,7.597,3.187,18.14
52.0,165.0,7,7.806,3.322,16.76
52.0,165.0,8,6.404,3.289,16.1
52.0,165.0,9,4.45,3.859,11.35
52.0,165.0,10,3.08,3.708,5.76
52.0,165.0,11,1.933,5.142,-0.52
52.0,165.0,12,0.012,4.965,-8.62
54.0,-180.0,1,1.524,5.292,-12.58
54.0,-180.0,2,2.666,4.672,-10.79
54.0,-180.0,3,4.474,4.295,-4.07
54.0,-180.0,4,6.664,4.263,1.83
54.0,-180.0,5,7.751,3.851,11.76
54.0,-180.0,6,7.386,3.0,16.55
54.0,-180.0,7,7.76,2.951,18.24
54.0,-180.0,8,6.408,3.054,15.1
54.0,-180.0,9,4.259,4.058,9.72
54.0,-180.0,10,3.068,5.017,4.36
54.0,-180.0,11,1.626,4.362,-4.91
54.0,-180.0,12,0.0,4.806,-11.21
54.0,-165.0,1,1.389,4.858,-12.23
54.0,-165.0,2,2.771,6.12,-10.91
54.0,-165.0,3,4.482,4.28,-4.2
54.0,-165.0,4,6.892,4.288,4.66
54.0,-165.0,5,7.636,3.241,11.57
54.0,-165.0,6,7.719,3.264,17.89
54.0,-165.0,7,7.537,3.324,18.19
54.0,-165.0,8,6.447,2.674,18.19
54.0,-165.0,9,4.374,3.053,12.37
54.0,-165.0,10,2.992,4.078,3.82
54.0,-165.0,11,1.527,4.619,-4.6
54.0,-165.0,12,0.0,4.981,-10.56
54.0,-150.0,1,1.51,5.163,-10.8
54.0,-150.0,2,2.62,4.45,-8.98
54.0,-150.0,3,4.593,4.734,-3.15
54.0,-150.0,4,6.802,3.479,3.0
54.0,-150.0,5,7.83,3.68,13.04
54.0,-150.0,6,7.488,3.544,19.64
54.0,-150.0,7,7.888,2.332,20.88
54.0,-150.0,8,6.394,3.443,20.19
54.0,-150.0,9,4.232,3.921,13.72
54.0,-150.0,10,3.18,4.091,4.07
